"Name","Symbol","Circulating Supply","Dollar Volume"
"Bitcoin","BTC","16728050.0","24676400000.0"
"Ethereum","ETH","96212139.9678","2404230000.0"
"Bitcoin Cash","BCH","16844550.0","2686020000.0"
"IOTA","MIOTA","2779530283.0","840718000.0"
"Ripple","XRP","38739145009.0","667439000.0"
"Litecoin","LTC","54199583.1531","780343000.0"
"Dash","DASH","7740886.07186","301284000.0"
"Bitcoin Gold","BTG","16694973.589","199022000.0"
"Monero","XMR","15449231.8962","236012000.0"
"Cardano","ADA","25927070538.0","65602600.0"
"Ethereum Classic","ETC","98197211.0","526214000.0"
"Stellar Lumens","XLM","17836688389.0","232149000.0"
"NEM","XEM","8999999999.0","31224900.0"
"NEO","NEO","65000000.0","134719000.0"
"EOS","EOS","526242339.505","166152000.0"
"BitConnect","BCC","3185691.80202","28726500.0"
"Populous","PPT","41252246.0","4596390.0"
"Lisk","LSK","115719232.0","47372400.0"
"Qtum","QTUM","73696328.0","158941000.0"
"MonaCoin","MONA","55868924.8935","33056800.0"
"Zcash","ZEC","2790281.25","128079000.0"
"Stratis","STRAT","98652665.2454","75640100.0"
"Tether","USDT","814017347.72","2161050000.0"
"OmiseGO","OMG","102042551.763","59374900.0"
"Waves","WAVES","100000000.0","51249800.0"
"Nxt","NXT","998999941.508","249442000.0"
"Hshare","HSR","42346228.8011","48630700.0"
"Ardor","ARDR","998999495.0","9616760.0"
"Einsteinium","EMC2","216104747.4","178124000.0"
"Bytecoin","BCN","1.83253534612e+11","8612160.0"
"Steem","STEEM","246365803.794","13859200.0"
"BitShares","BTS","2604100000.0","29049900.0"
"SALT","SALT","50533841.7307","23995400.0"
"Ark","ARK","97981284.0","13330800.0"
"Veritaseum","VERI","2026045.44","1061900.0"
"Vertcoin","VTC","41903950.0","38756900.0"
"Komodo","KMD","103710317.757","11202100.0"
"Decred","DCR","6315524.27498","5250140.0"
"Augur","REP","11000000.0","6396500.0"
"Dogecoin","DOGE","1.1224554246e+11","14501200.0"
"TRON","TRX","65748192475.5","25198800.0"
"QASH","QASH","350000000.0","12836200.0"
"Binance Coin","BNB","99014000.0","30647900.0"
"Golem","GNT","833032000.0","8412190.0"
"Siacoin","SC","31396146174.0","12978900.0"
"PIVX","PIVX","55079061.4422","3719290.0"
"MaidSafeCoin","MAID","452552412.0","7260680.0"
"Walton","WTC","24898178.0","26918100.0"
"TenX","PAY","104661310.0","8498460.0"
"DigixDAO","DGD","2000000.0","2361740.0"
"Cryptonex","CNX","45000735.1309","317940.0"
"Status","SNT","3470483788.0","19542500.0"
"Power Ledger","POWR","351092105.13","60951700.0"
"Factom","FCT","8745102.0","12898600.0"
"BitcoinDark","BTCD",,"383041.0"
"Santiment Net...","SAN","60522559.957","20514400.0"
"Basic Attenti...","BAT","1000000000.0","7058140.0"
"Kyber Network","KNC","134132696.93","14849200.0"
"Syscoin","SYS","529403683.324","9419400.0"
"Bytom","BTM","987000000.0","3029120.0"
"Exchange Union","XUC","24798537.9","878762.0"
"VeChain","VEN","277162633.45","14005000.0"
"Gas","GAS","8597035.40181","3382910.0"
"Byteball Bytes","GBYTE","645222.052938","780870.0"
"ZCoin","XZC","3609322.77818","10757400.0"
"Aeternity","AE","233020472.114","1317300.0"
"Raiden Networ...","RDN","50148936.0","12318800.0"
"Iconomi","ICN","99788314.2229","1673160.0"
"Pura","PURA","171989868.68","545545.0"
"DigiByte","DGB","9520089435.34","14782700.0"
"FunFair","FUN","4249873621.73","3943970.0"
"GameCredits","GAME","64355352.0","3167440.0"
"Gnosis","GNO","1104590.0","1535100.0"
"0x","ZRX","500000000.0","6103070.0"
"Decentraland","MANA","2273755650.0","56173500.0"
"Verge","XVG","14358052301.9","6418810.0"
"Skycoin","SKY","6000000.0","195762.0"
"Ethos","ETHOS","75166627.3785","3376950.0"
"Monaco","MCO","10768876.215","30566200.0"
"Blocknet","BLOCK","4918144.17098","412896.0"
"Bancor","BNT","40772870.6564","4800360.0"
"MinexCoin","MNX","3000000.0","437512.0"
"Dragonchain","DRGN","238421940.0","1343290.0"
"Civic","CVC","342700000.0","4562790.0"
"NAV Coin","NAV","62137585.0324","8283950.0"
"GXShares","GXS","40510000.0","7786320.0"
"RChain","RHOC","182963195.1","408992.0"
"Metal","MTL","19300994.0","9682280.0"
"Nexus","NXS","54254309.4243","1289530.0"
"Counterparty","XCP","2617463.95578","2475060.0"
"Streamr DATAcoin","DATA","677154514.0","5637050.0"
"Storj","STORJ","105413683.166","9705060.0"
"Edgeless","EDG","82046288.0","6239750.0"
"Aion","AION","41064475.9372","482123.0"
"RaiBlocks","XRB",,"1527390.0"
"Pepe Cash","PEPECASH","701884009.0","2791090.0"
"Metaverse ETP","ETP","36595356.7815","7619700.0"
"Achain","ACT","300000000.0","893985.0"
"Substratum","SUB","226091448.88","6216250.0"
"ChainLink","LINK","350000000.0","4917020.0"
"Revain","R","184450000.0","716011.0"
"Peercoin","PPC","24498600.3934","3564020.0"
"Lykke","LKK","263413176.48","260944.0"
"SingularDTV","SNGLS","600000000.0","2415380.0"
"Particl","PART","7798370.86993","2575470.0"
"PotCoin","POT","218903889.616","5977480.0"
"Ubiq","UBQ","39182801.9477","1449440.0"
"BitBay","BAY","1008095366.19","2996470.0"
"Jinn","JINN","58703.0","10704.1"
"Loopring","LRC","286170755.524","6639470.0"
"ZenCash","ZEN","2455647.92267","3030430.0"
"Request Network","REQ","640739733.245","11110600.0"
"Quantstamp","QSP","617314170.819","19343500.0"
"FedoraCoin","TIPS","4.43168182458e+11","1284.64"
"AdEx","ADX","60248315.0","10425300.0"
"ATMChain","ATM","3745253091.8","70899.3"
"FairCoin","FAIR","53193831.47","194376.0"
"Groestlcoin","GRS","68962748.8874","5509410.0"
"YOYOW","YOYOW","211436247.173","25615100.0"
"Aragon","ANT","32527201.1796","799043.0"
"Ripio Credit ...","RCN","485142647.353","9278320.0"
"Viacoin","VIA","22917724.375","2127830.0"
"SuperNET","UNITY","816060.7785","10299.5"
"Open Trading ...","OTN","4316655.22363","634322.0"
"Feathercoin","FTC","184287240.0","1431320.0"
"Quantum Resis...","QRL","52000000.0","699692.0"
"Safe Exchange...","SAFEX","2147483647.0","4032970.0"
"Aeon","AEON","14651140.4045","362925.0"
"Cobinhood","COB","265232443.805","296577.0"
"PayPie","PPP","82500000.0","216729.0"
"Mercury","MER","100000000.0","2761630.0"
"Eidoo","EDO","20986407.2613","2942270.0"
"MCAP","MCAP","38295641.0947","2034010.0"
"MobileGo","MGO","98028887.0","329536.0"
"Neblio","NEBL","12614752.7472","748141.0"
"Melon","MLN","599400.0","931964.0"
"Asch","XAS","90944360.0","509005.0"
"SONM","SNM","359600000.0","2441290.0"
"Wings","WINGS","89708333.0","1145890.0"
"ReddCoin","RDD","28683781717.3","2013420.0"
"Voxels","VOX","210000000.0","11978100.0"
